"Period","Product Name","Quantity Ordered","Product Sku"
"04/2019","Dripping Range Rainbow Sherbert Ice Cream MAX VG 50ml-60ml 3mg inc VG Nicshot","1","DRVGRSVG03"
"04/2019","Dainty's Banana Cake Flavour MAX VG 50ml-50ml 0mg","1","DAVGBC00"
"04/2019","Dainty's Strawberry Cheesecake 10ml-18mg","1","DAPGSC18"
"04/2019","R Dainty's Premium Apple Pie 10ml-6mg","1","DAPGAPI06"
"04/2019","VooPoo Drag 2 177w Kit-Aura","1","HWKIVODR2AU"
"04/2019","Dainty's Heisenberg 10ml-0mg","1","DAPGHB00"
"04/2019","Dainty's Grapefruit 10ml-0mg","1","DAPGGF00"
"04/2019","Dainty's Fresh Orange 10ml-18mg","1","DAPGFO18"
"04/2019","R Dainty's Premium Tutti Fruity 10ml-0mg","1","DAPGTF00"
"04/2019","R Dainty's Premium Cherry 10ml-6mg","1","DAPGCH06"
"04/2019","Vaptio Frogman Coils (PACK OF 5)-W8 (0.15Ω)","1","HWCOVAFR2"
"04/2019","Dainty's Premium Grape &amp; Blackcurrant 50/50 80ML-100ml 3.6mg inc PG Nicshot","1","DAPGGB10036PG"
"04/2019","Dainty's Banana Cake Flavour MAX VG 50ml-60ml 3mg inc PG Nicshot","1","DAPGBC60PG3"
"04/2019","Vaptio Solo 2 Starter Kit-Silver","1","SOLO2KIT-Silver"
"04/2019","Vaptio Solo F2 AIO-Grey","1","HWKIVAF2GRY"
"04/2019","Dainty's Premium Grape &amp; Blackcurrant 50/50 80ML-110ml 4.9mg inc PG Nicshot","1","DAPGGB11049PG"
"04/2019","Dripping Range Blueberg MAX VG 50ml-60ml 3mg inc PG Nicshot","1","DRVGBL0"
"Total","","1524",""
